Company_Name,Category,M_Name,URL
aeonianinvestments,financeinvestments,Aeonian Pub,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/aeonianinvestments/AI07
aesculapiusremedies,pharmaceuticals,Aesculapius Rem,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/aesculapiusremedies/AR05
affleindia,mediaentertainment,Affle India,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/affleindia/AI82
affordableroboticautomation,engineering,Affordable Robo,http://www.moneycontrol.com/india/stockpricequote/engineering/affordableroboticautomation/ARA
apmfinvestlimited,miscellaneous,AFL,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/apmfinvestlimited/APMFI54277
arvindfashionslimited,miscellaneous,AFL,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/arvindfashionslimited/ARVIN54248
aftek,computerssoftwaremediumsmall,Aftek,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/aftek/A14
agarwalindustrialcorporation,transportlogistics,Agarwal Ind,http://www.moneycontrol.com/india/stockpricequote/transportlogistics/agarwalindustrialcorporation/AIC03
agcnetworks,computerssoftware,AGC Networks,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/agcnetworks/AGC
agiinfra,constructioncontractingcivil,AGI Infra,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/agiinfra/AI43
agiopaperindustries,paper,Agio Paper,http://www.moneycontrol.com/india/stockpricequote/paper/agiopaperindustries/API08
adanigaslimited,miscellaneous,AGL,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/adanigaslimited/ADG01
agrimarineexports,aquaculture,Agri Marine Exp,http://www.moneycontrol.com/india/stockpricequote/aquaculture/agrimarineexports/AME01
agritechindia,fertilisers,Agri-Tech,http://www.moneycontrol.com/india/stockpricequote/fertilisers/agritechindia/ATI02
agrimaschemicals,pesticidesagrochemicals,Agrimas Chem,http://www.moneycontrol.com/india/stockpricequote/pesticidesagrochemicals/agrimaschemicals/ACL04
agrimonycommodities,trading,Agrimony Comm,http://www.moneycontrol.com/india/stockpricequote/trading/agrimonycommodities/AC11
agritechhatcheriesfoods,miscellaneous,Agritech Hatch,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/agritechhatcheriesfoods/AHF
agrochempunjab,fertilisers,Agro Chem Punj,http://www.moneycontrol.com/india/stockpricequote/fertilisers/agrochempunjab/ACP01
agrodutchindustries,foodprocessing,Agro Dutch Ind,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/agrodutchindustries/ADI02
agrophosindia,diversified,Agro Phos India,http://www.moneycontrol.com/india/stockpricequote/diversified/agrophosindia/API
agrotechfoods,edibleoilssolventextraction,Agro Tech Foods,http://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/agrotechfoods/ATF
agsinfotech,computerssoftware,AGS Infotech,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/agsinfotech/AGS02
ahimsaindustries,plastics,Ahimsa Ind,http://www.moneycontrol.com/india/stockpricequote/plastics/ahimsaindustries/AI44
ahladaengineers,infrastructuregeneral,Ahlada Engineer,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/ahladaengineers/AE21
ahlconparenteralindia,pharmaceuticals,Ahlcon Parent,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/ahlconparenteralindia/API01
ahluwaliacontractsindia,constructioncontractingcivil,Ahluwalia,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/ahluwaliacontractsindia/ACI12
ahmedabadstellcr,steelrolling,Ahmedabad St,http://www.moneycontrol.com/india/stockpricequote/steelrolling/ahmedabadstellcr/AS02
ahuraweldingelecmfg,electrodesgraphite,Ahura Weld,http://www.moneycontrol.com/india/stockpricequote/electrodesgraphite/ahuraweldingelecmfg/AWE
